"Serial Number","Model","Mac Address","Part Number","Device Type","Source","Flex","Subscription Key","Subscription Tier","Subscription Tier Description","Subscription Expiration","Archived","Application Id","Application Name","Application Instance Name","Make","Age","Ccs Region","Tags","Tags Count","Subscription Key Type","Device Name","Secondary Name","Account Name","Tenant Platform Customer Id","Contact Id","Contact Name","Location Id","Location Name"
"CNLBK9T4GF","AP-303-RW","CC:D0:83:CE:35:22","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"PHSTLBM1XF","AP-505-RW","68:51:34:C8:64:E0","R2H28A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","1yr 9mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","",""
"CU0303390","IAP-103-RW","04:BD:88:C8:1D:B2","IAP-103-RW","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"TW98FP5540","2530","90:20:C2:9E:BA:80","J9774A","SWITCH","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNMMK9T8LT","AP-303-RW","FC:7F:F1:CE:D4:CA","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","",""
"CNN3K9T7J6","AP-303-RW","94:64:24:CE:7F:F2","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","494e31d7-75cf-50d1-a482-f992141ca5d2",""
"CNFYJST0P5","IAP-207-RW","80:8D:B7:CB:C9:5E","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNG8K9T6HD","AP-303-RW","90:4C:81:CC:09:30","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"PHKZK9T0Z5","AP-303-RW","D0:D3:E0:C3:B7:C6","JZ320A","IAP","MANAGED","false","PAYHDEETAJJUA4","FOUNDATION_AP","Foundation AP","Jan 16, 2030","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Mart Minas Distribuição","09811f721eb811eda8cea65d569b2cf1","","","773a819e-b0c4-5850-aa4f-c91d90f2670c",""
"CP0054368","7005-RW","20:4C:03:58:75:F2","JW633A","GATEWAY","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNNHK9T60L","AP-303-RW","F0:61:C0:C1:68:46","JZ320A","IAP","MANAGED","false","PAYHEUJ6J9EEUY","FOUNDATION_AP","Foundation AP","Jul 03, 2028","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 4mo","US West","","","BASE","","","SAI DO PAPEL CONSULTORIA E TREINAMENTO LTDA","5d73c9c85d3b11ee9030c65668383194","","","31ea7e81-8949-5b78-ac72-65ec09fd01d5",""
"CNMFK9T6DR","AP-303-RW","FC:7F:F1:CD:2D:28","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","2d387463-f5c9-5639-855e-21d4579b2a1f",""
"PHJZK9T0C2","AP-303-RW","D0:D3:E0:C3:40:E2","JZ320A","IAP","MANAGED","false","PAYHDEETAJJUA4","FOUNDATION_AP","Foundation AP","Jan 16, 2030","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Mart Minas Distribuição","09811f721eb811eda8cea65d569b2cf1","","","64ffe09d-08c0-5904-83b1-2b189083bde9",""
"CNDDJST20C","IAP-207-RW","44:48:C1:C8:CB:44","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNMMK9T65N","AP-303-RW","FC:7F:F1:CE:BC:20","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","",""
"CNFYJST08S","IAP-207-RW","80:8D:B7:CB:CF:7A","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNN3K9T7XT","AP-303-RW","94:64:24:CE:A8:D4","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","ASSOCIAÇÃO CULTURA INGLESA SP","0ca2a8d8f36e11ee815fdec11fe7cf53","","","e113e147-cd6d-57ee-b2b7-5ee407554035",""
"CNMMK9T5SP","AP-303-RW","FC:7F:F1:CE:D1:68","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNG5K9T04J","AP-303-RW","90:4C:81:CB:12:6A","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","53574004-da1a-5db9-81b6-5a079f0565dd",""
"CNDDJSTKWP","IAP-207-RW","44:48:C1:CD:3A:20","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNGRK9TD0J","AP-303-RW","9C:8C:D8:C6:77:A2","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"CNLBK9T4K8","AP-303-RW","CC:D0:83:CE:2F:1E","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","53574004-da1a-5db9-81b6-5a079f0565dd",""
"CNMXK9T5W0","AP-303-RW","94:64:24:CE:22:DE","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"CNL3K9T1CN","AP-303-RW","CC:D0:83:CD:E8:FC","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNNHK9T6Y1","AP-303-RW","F0:61:C0:C1:69:F0","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 4mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","c50d0b73-5b55-5e53-bf9e-c4086e9170a3",""
"CNN3K9T7BY","AP-303-RW","94:64:24:CE:B2:A4","JZ320A","IAP","MANAGED","false","PAYHEUJ6J9EEUY","FOUNDATION_AP","Foundation AP","Jul 03, 2028","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","GRUPO LIDER","ced715d6384b11ed8f9c42d2e9a2f0e7","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"PHK8K9T0QD","AP-303-RW","D0:D3:E0:C3:64:E6","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Mart Minas Distribuição","09811f721eb811eda8cea65d569b2cf1","","","6719f61a-1e2c-51fe-9101-36ce670a58ca",""
"CNPDK9T6VR","AP-303-RW","F0:61:C0:C4:62:7C","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","3yr 10mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","68fd632e-6568-57b5-a74e-8402c505d2ae",""
"CNNHK9T5ZF","AP-303-RW","F0:61:C0:C1:3A:16","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 4mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","c50d0b73-5b55-5e53-bf9e-c4086e9170a3",""
"CNKGK9TDL6","AP-303-RW","D0:D3:E0:C9:49:04","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNFYJST1GW","IAP-207-RW","80:8D:B7:CB:CE:8C","JX954A","IAP","MANAGED","false","PAYHEUJ6J9EEUY","FOUNDATION_AP","Foundation AP","Jul 03, 2028","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","FUNDACAO PIO XII","1f308bb41ea911eda8cea65d569b2cf1","","","",""
"CNG5JST30W","IAP-207-RW","B0:B8:67:C0:D3:36","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNLBKPP4NQ","AP-505-RW","1C:28:AF:C1:51:88","R2H28A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"PHKLK9T0HD","AP-303-RW","D0:D3:E0:C3:A7:B4","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNDDJSTKV4","IAP-207-RW","44:48:C1:CD:39:C0","JX954A","IAP","MANAGED","false","PAYHEUJ6J9EEUY","FOUNDATION_AP","Foundation AP","Jul 03, 2028","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","NOVAMED","0073fb701ea411eda8cea65d569b2cf1","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"CNL3K9T195","AP-303-RW","CC:D0:83:CD:E9:D0","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNN3K9TCH9","AP-303-RW","94:64:24:CE:A2:D0","JZ320A","IAP","MANAGED","false","PAYHEUJ6J9EEUY","FOUNDATION_AP","Foundation AP","Jul 03, 2028","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","GRUPO LIDER","ced715d6384b11ed8f9c42d2e9a2f0e7","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"PHJZK9T1RP","AP-303-RW","D0:D3:E0:C3:4B:70","JZ320A","IAP","MANAGED","false","PAYHDEETAJJUA4","FOUNDATION_AP","Foundation AP","Jan 16, 2030","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Mart Minas Distribuição","09811f721eb811eda8cea65d569b2cf1","","","83eb647e-7e82-5df5-add1-a154a4c9c16a",""
"CNMXK9T43N","AP-303-RW","94:64:24:CE:2C:AA","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"CNN3K9TCX9","AP-303-RW","94:64:24:CE:B8:94","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","e113e147-cd6d-57ee-b2b7-5ee407554035",""
"CNDDJST81G","IAP-207-RW","44:48:C1:C8:F8:94","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNMFK9T6D8","AP-303-RW","FC:7F:F1:CD:28:C0","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","0095dd78-1e04-53a9-b164-ed9c8006cc5e",""
"TW9BHL24XW","2930F","10:4F:58:3E:42:80","JL261A","SWITCH","MANAGED","false","PAYHEU9G994EUT","FOUNDATION_SWITCH_6200","Foundation-Switch-Class-2","Jul 03, 2028","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Camara Municipal de Fortaleza","95aea4b21eac11eda8cea65d569b2cf1","","","c8ef1bd0-3e60-59d9-8d68-ee31aebd8ff3",""
"CND1JSTCFQ","IAP-207-RW","C8:B5:AD:CF:D2:D4","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNG8K9T4NL","AP-303-RW","90:4C:81:CB:B3:1C","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNLBK9T4G1","AP-303-RW","CC:D0:83:CE:2E:4C","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNFYJST0CF","IAP-207-RW","80:8D:B7:CB:CD:2C","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNGRK9TD1N","AP-303-RW","9C:8C:D8:C6:7D:C2","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"CNM5K9T1MF","AP-303-RW","FC:7F:F1:CB:8B:32","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","35047b16-da91-58b1-b7ae-b4bc17c41bf5",""
"CNMFK9T6DX","AP-303-RW","FC:7F:F1:CD:47:7E","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","",""
"CNLCK9T62F","AP-303-RW","CC:D0:83:CE:64:58","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNGTK9T2XV","AP-303-RW","9C:8C:D8:C7:04:BE","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"CNLCK9T6PC","AP-303-RW","CC:D0:83:CE:61:04","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNDDJSTL26","IAP-207-RW","44:48:C1:CD:3B:76","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNDDJSTKWF","IAP-207-RW","44:48:C1:CD:3A:10","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"PHSTLBM1XT","AP-505-RW","68:51:34:C8:9E:5E","R2H28A","IAP","MANAGED","false","","","","","false","","","","HPE","1yr 9mo","","","","","","","","","","","",""
"CNGTK9T6L7","AP-303-RW","9C:8C:D8:C7:0F:F6","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CP0054258","7005-RW","20:4C:03:58:7E:8A","JW633A","GATEWAY","MANAGED","false","","","","","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","",""
"CNMGK9T13R","AP-303-RW","FC:7F:F1:CD:71:F4","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","",""
"CNDDJSTKMG","IAP-207-RW","44:48:C1:CD:38:22","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CP0054249","7005-RW","20:4C:03:58:78:EA","JW633A","GATEWAY","MANAGED","false","","","","","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","",""
"CU0442037","IAP-103-RW","F0:5C:19:CD:17:FC","IAP-103-RW","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNDDJSTKVV","IAP-207-RW","44:48:C1:CD:39:EC","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNNGK9TB05","AP-303-RW","F0:61:C0:C0:F9:B2","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 4mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"CNFYJST01W","IAP-207-RW","80:8D:B7:CB:C1:8A","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"CN21HL22ZQ","2930F","44:5B:ED:C0:18:00","JL261A","SWITCH","MANAGED","false","","","","","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","aef35409-88cf-5676-a1e6-6521d8199afa",""
"PHKLK9T10K","AP-303-RW","D0:D3:E0:C3:AD:D4","JZ320A","IAP","MANAGED","false","PAYHDEETAJJUA4","FOUNDATION_AP","Foundation AP","Jan 16, 2030","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Posto Aldo","daefcbb01eb011eda8cea65d569b2cf1","","","2439ea63-92f2-5cc7-b263-f8cb4b340bb1",""
"CNMXK9T4R4","AP-303-RW","94:64:24:CE:3D:B2","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","53574004-da1a-5db9-81b6-5a079f0565dd",""
"CNGTK9T384","AP-303-RW","9C:8C:D8:C7:10:54","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNDDJST212","IAP-207-RW","44:48:C1:C8:CB:70","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNG8K9T4V0","AP-303-RW","90:4C:81:CB:B2:36","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNG8K9T4VK","AP-303-RW","90:4C:81:CB:AD:44","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNM5K9T2Y2","AP-303-RW","FC:7F:F1:CB:8E:68","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","",""
"CNMFK9T8D8","AP-303-RW","FC:7F:F1:CD:31:08","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","15c281df-697f-52d2-a16d-35d38b0bbbdb",""
"CNGTK9T106","AP-303-RW","9C:8C:D8:C7:05:26","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","e113e147-cd6d-57ee-b2b7-5ee407554035",""
